gene_id,importance_score,z_score,is_perturbed
CXCR4,0.0,-0.17964239331779489,False
CXXC5,0.0,-0.17964239331779489,False
CYB561,0.0,-0.17964239331779489,False
CYB5A,0.0,-0.17964239331779489,False
CYB5R1,0.0,-0.17964239331779489,False
CYB5R3,0.0,-0.17964239331779489,False
CYBRD1,0.0,-0.17964239331779489,False
CYC1,0.0,-0.17964239331779489,False
CYFIP1,0.0,-0.17964239331779489,False
CYP1B1,0.0,-0.17964239331779489,False
CYP2A6,0.0,-0.17964239331779489,False
CYP2A7,0.0,-0.17964239331779489,False
CYP4F8,0.0,-0.17964239331779489,False
CYP4X1,0.0,-0.17964239331779489,False
CYP4Z1,0.0,-0.17964239331779489,False
DAG1,0.0,-0.17964239331779489,False
DAP3,0.0,-0.17964239331779489,False
DBI,0.0,-0.17964239331779489,False
DCAF10,0.0,-0.17964239331779489,False
DCAF6,0.019999999999999997,5.68388532457503,True
DCAF7,0.0,-0.17964239331779489,False
DCN,0.0,-0.17964239331779489,False
DDB1,0.0,-0.17964239331779489,False
DDOST,0.0,-0.17964239331779489,False
DDR1,0.0,-0.17964239331779489,False
DDR2,0.0,-0.17964239331779489,False
DDX17,0.0,-0.17964239331779489,False
DDX21,0.0,-0.17964239331779489,False
DDX3X,0.0,-0.17964239331779489,False
DDX42,0.0,-0.17964239331779489,False
DDX5,0.0,-0.17964239331779489,False
DDX6,0.0,-0.17964239331779489,False
DDX60,0.0,-0.17964239331779489,False
DEGS1,0.0,-0.17964239331779489,False
DEGS2,0.0,-0.17964239331779489,False
DEK,0.0,-0.17964239331779489,False
DENND1B,0.0,-0.17964239331779489,False
DENND4C,0.0,-0.17964239331779489,False
DERL1,0.0,-0.17964239331779489,False
DES,0.0,-0.17964239331779489,False
DGAT2,0.0,-0.17964239331779489,False
DHCR24,0.0,-0.17964239331779489,False
DHCR7,0.0,-0.17964239331779489,False
DHRS2,0.0,-0.17964239331779489,False
DHX15,0.0,-0.17964239331779489,False
DHX9,0.0,-0.17964239331779489,False
DLK1,0.0,-0.17964239331779489,False
DMBT1,0.0,-0.17964239331779489,False
DNAJA1,0.0,-0.17964239331779489,False
DNAJB1,0.0,-0.17964239331779489,False
DNAJC1,0.0,-0.17964239331779489,False
DNAJC10,0.0,-0.17964239331779489,False
DPYSL2,0.0,-0.17964239331779489,False
DPYSL3,0.0,-0.17964239331779489,False
DSC2,0.0,-0.17964239331779489,False
DSC3,0.0,-0.17964239331779489,False
DSG1,0.0,-0.17964239331779489,False
DSG2,0.0,-0.17964239331779489,False
DSP,0.0,-0.17964239331779489,False
DST,0.0,-0.17964239331779489,False
DSTN,0.0,-0.17964239331779489,False
DTX3L,0.0,-0.17964239331779489,False
DUSP1,0.0,-0.17964239331779489,False
DYNC1H1,0.0,-0.17964239331779489,False
DYNLL1,0.0,-0.17964239331779489,False
DYNLL2,0.0,-0.17964239331779489,False
ECE1,0.0,-0.17964239331779489,False
ECM1,0.0,-0.17964239331779489,False
EDEM3,0.0,-0.17964239331779489,False
EDF1,0.0,-0.17964239331779489,False
EDIL3,0.0,-0.17964239331779489,False
EEF1A1,0.0,-0.17964239331779489,False
EEF1A2,0.0,-0.17964239331779489,False
EEF1B2,0.0,-0.17964239331779489,False
EEF2,0.0,-0.17964239331779489,False
EFEMP1,0.0,-0.17964239331779489,False
EGFR,0.0,-0.17964239331779489,False
EGR1,0.0,-0.17964239331779489,False
EHD2,0.0,-0.17964239331779489,False
EID1,0.0,-0.17964239331779489,False
