Rank,Gene,Importance Score,Valid Target
732,IFI6,0.0,False
733,IFIT1,0.0,False
734,IFIT3,0.0,False
735,IFITM1,0.0,False
736,IFITM2,0.0,False
737,IFITM3,0.0,False
738,IGF2R,0.0,False
739,IGFBP2,0.0,False
740,IGFBP3,0.0,False
741,IGFBP5,0.0,False
742,IGFBP7,0.0,False
743,IL13RA1,0.0,False
744,IL1R1,0.0,False
745,IL2RB,0.0,False
746,IL6ST,0.0,False
747,ILF2,0.0,False
748,ILF3,0.0,False
749,IMPDH2,0.0,False
750,INPP4B,0.0,False
751,INSIG1,0.0,False
752,INSR,0.0,False
753,IPO5,0.0,False
754,IPO7,0.0,False
755,IRAK1,0.0,False
756,ISG15,0.0,False
757,ITGA11,0.0,False
758,ITGA3,0.0,False
759,ITGA6,0.0,False
760,ITGAV,0.0,False
761,ITGB1,0.0,False
762,ITGB2,0.0,False
763,ITGB4,0.0,False
764,ITGB5,0.0,False
765,ITGB6,0.0,False
766,ITIH5,0.0,False
767,ITM2B,0.0,False
768,ITPR1,0.0,False
769,ITPR2,0.0,False
770,IVNS1ABP,0.0,False
771,JAK1,0.0,False
772,JCHAIN,0.0,False
773,JUN,0.0,False
774,JUNB,0.0,False
775,JUND,0.0,False
776,JUP,0.0,False
777,KAT6B,0.0,False
778,KCNE4,0.0,False
779,KCNJ3,0.0,False
780,KCTD12,0.0,False
781,KDELR1,0.0,False
782,KDELR2,0.0,False
783,KDM2A,0.0,False
784,KHDRBS1,0.0,False
785,KIF13B,0.0,False
786,KIF16B,0.0,False
787,KIF1B,0.0,False
788,KIF1C,0.0,False
789,KIF5B,0.0,False
790,KIT,0.0,False
791,KITLG,0.0,False
792,KLF6,0.0,False
793,KLHL9,0.0,False
794,KPNA2,0.0,False
795,KPNB1,0.0,False
796,KRT14,0.0,False
797,KRT15,0.0,False
798,KRT16,0.0,False
799,KRT17,0.0,False
800,KRT18,0.0,False
801,KRT19,0.0,False
802,KRT5,0.0,False
803,KRT7,0.0,False
804,KRT8,0.0,False
805,LACRT,0.0,False
806,LAMA3,0.0,False
807,LAMA4,0.0,False
808,LAMA5,0.0,False
809,LAMB1,0.0,False
810,LAMB2,0.0,False
811,LAMB3,0.0,False
812,LAMC1,0.0,False
813,LAMC2,0.0,False
814,LAMP1,0.0,False
815,LAMP2,0.0,False
816,LAP3,0.0,False
817,LAPTM4A,0.0,False
818,LAPTM4B,0.0,False
819,LAPTM5,0.0,False
820,LARP1,0.0,False
821,LASP1,0.0,False
822,LBP,0.0,False
823,LCP1,0.0,False
824,LDB3,0.0,False
825,LDHA,0.0,False
826,LDLRAD4,0.0,False
827,LEP,0.0,False
828,LGALS1,0.0,False
829,LGALS3,0.0,False
830,LGALS3BP,0.0,False
831,LGMN,0.0,False
832,LIMA1,0.0,False
833,LIPA,0.0,False
834,LIPE,0.0,False
835,LITAF,0.0,False
836,LMAN1,0.0,False
837,LMNA,0.0,False
838,LMO4,0.0,False
839,LMOD2,0.0,False
840,LMOD3,0.0,False
841,LNPEP,0.0,False
842,LONP2,0.0,False
843,LPCAT1,0.0,False
844,LPGAT1,0.0,False
845,LPL,0.0,False
846,LPP,0.0,False
847,LRIG1,0.0,False
848,LRP1,0.0,False
849,LRP10,0.0,False
850,LRP2,0.0,False
851,LRPPRC,0.0,False
852,LRRFIP1,0.0,False
853,LSM14A,0.0,False
854,LSR,0.0,False
855,LTBP1,0.0,False
856,LTBP2,0.0,False
857,LTBP3,0.0,False
858,LTF,0.0,False
859,LUC7L3,0.0,False
860,LUM,0.0,False
861,LY6E,0.0,False
862,LYPD3,0.0,False
863,LYPLA1,0.0,False
864,LYZ,0.0,False
865,MACF1,0.0,False
866,MAGED1,0.0,False
867,MAGED2,0.0,False
868,MAL2,0.0,False
869,MAOA,0.0,False
870,MAOB,0.0,False
871,MAP1B,0.0,False
872,MAP4,0.0,False
873,MAPKAPK2,0.0,False
874,MAPRE1,0.0,False
875,MAPT,0.0,False
876,MARCKS,0.0,False
877,MARCKSL1,0.0,False
878,MAT2A,0.0,False
879,MB,0.0,False
880,MBNL1,0.0,False
881,MBOAT2,0.0,False
882,MBOAT7,0.0,False
883,MBTPS1,0.0,False
884,MCAM,0.0,False
885,MCCC2,0.0,False
886,MCM3,0.0,False
887,MCM7,0.0,False
888,MDH2,0.0,False
889,MDK,0.0,False
890,MED13,0.0,False
891,MED13L,0.0,False
892,MED24,0.0,False
893,MFAP4,0.0,False
894,MFAP5,0.0,False
895,MFGE8,0.0,False
896,MGLL,0.0,False
897,MGP,0.0,False
898,MGST1,0.0,False
899,MIA3,0.0,False
900,MIEN1,0.0,False
901,MKI67,0.0,False
902,MKNK2,0.0,False
903,MLEC,0.0,False
904,MLLT6,0.0,False
905,MLPH,0.0,False
906,MME,0.0,False
907,MMP11,0.0,False
908,MMP14,0.0,False
909,MMP2,0.0,False
910,MMP7,0.0,False
911,MMP9,0.0,False
912,MOB1A,0.0,False
913,MORF4L2,0.0,False
914,MPRIP,0.0,False
915,MPZL1,0.0,False
916,MRFAP1,0.0,False
917,MRPS30,0.0,False
918,MS4A7,0.0,False
919,MSL1,0.0,False
920,MSMB,0.0,False
921,MSN,0.0,False
922,MT-ATP6,0.0,False
923,MT-ATP8,0.0,False
924,MT-CO1,0.0,False
925,MT-CO2,0.0,False
926,MT-CO3,0.0,False
927,MT-CYB,0.0,False
928,MT-ND1,0.0,False
929,MT-ND2,0.0,False
930,MT-ND3,0.0,False
931,MT-ND4,0.0,False
